"","year","CO2","CH4","NO2","SGG","location","latitude","longitude","location_name","country","state","count","mean","min","max"
"130",1883,289.47777,0.84223,0.2766,3.8e-05,"084016",-37.57,149.91,"GABO","Australia","Victoria",365,2.30821917808219,0,67.3
"131",1883,289.47777,0.84223,0.2766,3.8e-05,"054004",-29.87,150.57,"BINGARA","Australia","New South Wales",365,2.02657534246575,0,60.5
"132",1883,289.47777,0.84223,0.2766,3.8e-05,"075050",-33.61,146.32,"NARADHAN","Australia","New South Wales",365,1.35479452054795,0,58.9
"133",1883,289.47777,0.84223,0.2766,3.8e-05,"062021",-32.6,149.6,"MUDGEE","Australia","New South Wales",365,1.37917808219178,0,36.1
"134",1883,289.47777,0.84223,0.2766,3.8e-05,"074128",-35.55,144.95,"DENILIQUIN","Australia","New South Wales",365,1.03205479452055,0,22.1
"135",1883,289.47777,0.84223,0.2766,3.8e-05,"058063",-28.88,153.05,"CASINO","Australia","New South Wales",365,2.33945205479452,0,66
"136",1883,289.47777,0.84223,0.2766,3.8e-05,"089005",-37.45,143.36,"BEAUFORT","Australia","Victoria",365,2.0027397260274,0,46.5
"137",1884,289.70582,0.84418,0.27681,3.8e-05,"024511",-34.18,139.08,"EUDUNDA","Australia","South Australia",366,1.20464480874317,0,25.4
"138",1884,289.70582,0.84418,0.27681,3.8e-05,"019001",-33.05,138.43,"APPILA","Australia","South Australia",364,1.24285714285714,0,51.1
"139",1884,289.70582,0.84418,0.27681,3.8e-05,"078078",-36.37,141.24,"KANIVA","Australia","Victoria",366,1.66830601092896,0,35.6
"140",1884,289.70582,0.84418,0.27681,3.8e-05,"047053",-34.11,141.91,"WENTWORTH","Australia","New South Wales",366,0.585792349726776,0,23.1
"141",1884,289.70582,0.84418,0.27681,3.8e-05,"054004",-29.87,150.57,"BINGARA","Australia","New South Wales",366,1.57267759562842,0,59.7
"142",1884,289.70582,0.84418,0.27681,3.8e-05,"089033",-37.69,142.72,"WICKLIFFE","Australia","Victoria",366,1.48251366120219,0,63.8
"143",1884,289.70582,0.84418,0.27681,3.8e-05,"084030",-37.69,148.46,"ORBOST","Australia","Victoria",366,2.03005464480874,0,87.9
"144",1884,289.70582,0.84418,0.27681,3.8e-05,"084016",-37.57,149.91,"GABO","Australia","Victoria",366,2.26939890710383,0,90.9
"145",1884,289.70582,0.84418,0.27681,3.8e-05,"017024",-30.07,138.27,"FARINA","Australia","South Australia",364,0.391483516483516,0,36.6
"146",1884,289.70582,0.84418,0.27681,3.8e-05,"019032",-32.74,138.61,"ORROROO","Australia","South Australia",353,1.06628895184136,0,64.8
"147",1884,289.70582,0.84418,0.27681,3.8e-05,"054003",-30.38,150.61,"BARRABA","Australia","New South Wales",366,1.66174863387978,0,47.2
